stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
797,3000343,Oxon Hill Rd+Livingston Rd,,38.803173,-76.991531,,
800,5000411,Burke Rd+Peppercorn Dr,,38.803177,-77.278,,
801,3000344,Brinkley Rd+Huntley Sq Dr,,38.8032,-76.950157,,
807,5000414,Lake Braddock Dr+Mersea Ct,,38.803341,-77.267326,,
809,5000416,Lake Braddock Dr+Mersea Ct,,38.803375,-77.267548,,
816,3000347,Oxon Hill Rd+Riverside Plaza Apt,,38.803596,-76.987404,,
817,4000019,S Washington St+Prince St,,38.8036,-77.047348,,
819,5000420,Burke Rd+Peppercorn Dr,,38.803669,-77.278458,,
820,5000421,Lake Braddock Dr+Burdett Dr,,38.803688,-77.274155,,
821,3000348,Oxon Hill Rd+Riverside Plz Apt,,38.803699,-76.987335,,
823,5000422,Zion Dr+Grovewood Wy,,38.80373,-77.296982,,
824,5000423,Lake Braddock Dr+Blackburn Dr,,38.803757,-77.27433,,
834,3000352,Brinkley Rd+Huntcrest Condos,,38.804039,-76.953049,,
836,3000353,Brinkley Rd+#3041,,38.804066,-76.956665,,
837,3000354,Brinkley Rd+Huntcrest Condos,,38.804138,-76.952713,,
838,3000355,Brinkley Rd+Brinkley Crest,,38.804161,-76.956535,,
840,5000429,Pommeroy Dr+Chatsworth Ct,,38.804306,-77.283272,,
841,3000357,Oxon Hill Rd+#6188,,38.804211,-76.981865,,
843,3000358,Livingston Rd+Oxon Hill Rd,,38.80426,-76.990364,,
844,3000359,Oxon Hill Rd+Rivertowne Commons,,38.804352,-76.981834,,
845,4000023,S Pickett St+#648,,38.804363,-77.132156,,
851,4000025,S Washington St+King St,,38.8046,-77.046959,,
852,5000434,Burke Rd+Ashbourn Dr,,38.804607,-77.2789,,
853,3000361,Livingston Rd+Oxon Hill Rd,,38.804646,-76.990295,,
855,5000435,Burke Rd+Ashbourn Dr,,38.804676,-77.279205,,
857,3000362,Oxon Hill Rd+John Hanson Ln,,38.804756,-76.977013,,
860,3000363,St Barnabas Rd+John Hanson Ln,,38.80479,-76.97419,,
